SourceV	Current	Voltage
1.56155E6	6.4039E-6	10
1.55424E6	6.434E-6	10
1.54947E6	6.4538E-6	10
1.54459E6	6.4742E-6	10
1.53979E6	6.4944E-6	10
1.53558E6	6.5122E-6	10
1.52849E6	6.5424E-6	10
1.52207E6	6.57E-6	10
1.51414E6	6.6044E-6	10
1.50614E6	6.6395E-6	10
1.49986E6	6.6673E-6	10
1.49528E6	6.6877E-6	10
1.49151E6	6.7046E-6	10
1.49249E6	6.7002E-6	10
1.48876E6	6.717E-6	10
1.48196E6	6.7478E-6	10
1.47802E6	6.7658E-6	10
1.47327E6	6.7876E-6	10
1.46744E6	6.8146E-6	10
1.46327E6	6.834E-6	10
1.46197E6	6.8401E-6	10
1.45163E6	6.8888E-6	10
1.4429E6	6.9305E-6	10
1.43544E6	6.9665E-6	10
1.42939E6	6.996E-6	10
1.42657E6	7.0098E-6	10
1.42302E6	7.0273E-6	10
1.41995E6	7.0425E-6	10
1.41133E6	7.0855E-6	10
1.40355E6	7.1248E-6	10
1.39567E6	7.165E-6	10
1.38872E6	7.2009E-6	10
1.38343E6	7.2284E-6	10
1.37707E6	7.2618E-6	10
1.36921E6	7.3035E-6	10
1.3624E6	7.34E-6	10
1.35717E6	7.3683E-6	10
1.34918E6	7.4119E-6	10
1.34666E6	7.4258E-6	10
1.34302E6	7.4459E-6	10
1.34075E6	7.4585E-6	10
1.33729E6	7.4778E-6	10
1.33535E6	7.4887E-6	10
1.3292E6	7.5233E-6	10
1.3245E6	7.55E-6	10
1.31893E6	7.5819E-6	10
1.31258E6	7.6186E-6	10
1.30673E6	7.6527E-6	10
1.30149E6	7.6835E-6	10
1.29623E6	7.7147E-6	10
1.29154E6	7.7427E-6	10
1.2851E6	7.7815E-6	10
1.27926E6	7.817E-6	10
1.27393E6	7.8497E-6	10
1.26912E6	7.8795E-6	10
1.26459E6	7.9077E-6	10
1.26162E6	7.9263E-6	10
1.25797E6	7.9493E-6	10
1.25395E6	7.9748E-6	10
1.24807E6	8.0124E-6	10
1.24208E6	8.051E-6	10
1.23723E6	8.0826E-6	10
1.23201E6	8.1168E-6	10
1.22779E6	8.1447E-6	10
1.22459E6	8.166E-6	10
1.21927E6	8.2016E-6	10
1.21552E6	8.2269E-6	10
1.21192E6	8.2514E-6	10
1.20909E6	8.2707E-6	10
1.20534E6	8.2964E-6	10
1.20257E6	8.3155E-6	10
1.20093E6	8.3269E-6	10
1.19706E6	8.3538E-6	10
1.19285E6	8.3833E-6	10
1.18883E6	8.4116E-6	10
1.18571E6	8.4338E-6	10
1.18226E6	8.4584E-6	10
1.17922E6	8.4802E-6	10
1.17445E6	8.5146E-6	10
1.17117E6	8.5385E-6	10
1.164E6	8.5911E-6	10
1.1562E6	8.649E-6	10
1.14972E6	8.6978E-6	10
1.14451E6	8.7374E-6	10
1.13928E6	8.7775E-6	10
1.13525E6	8.8086E-6	10
1.13089E6	8.8426E-6	10
1.12857E6	8.8608E-6	10
1.12592E6	8.8816E-6	10
1.12188E6	8.9136E-6	10
1.11677E6	8.9544E-6	10
1.11402E6	8.9765E-6	10
1.11136E6	8.998E-6	10
1.10808E6	9.0246E-6	10
1.10479E6	9.0515E-6	10
1.0996E6	9.0942E-6	10
1.0954E6	9.1291E-6	10
1.09408E6	9.1401E-6	10
1.09247E6	9.1536E-6	10
1.0894E6	9.1794E-6	10
1.08216E6	9.2408E-6	10
1.07706E6	9.2845E-6	10
1.0716E6	9.3318E-6	10
1.06621E6	9.379E-6	10
1.06311E6	9.4064E-6	10
1.0595E6	9.4384E-6	10
1.0574E6	9.4572E-6	10
1.05442E6	9.4839E-6	10
1.05078E6	9.5167E-6	10
1.04624E6	9.558E-6	10
1.04114E6	9.6049E-6	10
1.03823E6	9.6318E-6	10
1.03586E6	9.6538E-6	10
1.03403E6	9.6709E-6	10
1.03118E6	9.6976E-6	10
1.02816E6	9.7261E-6	10
1.02647E6	9.7421E-6	10
1.02254E6	9.7796E-6	10
1.02107E6	9.7936E-6	10
1.01786E6	9.8245E-6	10
1.01512E6	9.8511E-6	10
1.01234E6	9.8781E-6	10
1.01017E6	9.8993E-6	10
1.00549E6	9.9454E-6	10
1.00039E6	9.9961E-6	10
997207.81811	1.0028E-5	10
991375.03718	1.0087E-5	10
986193.29389	1.014E-5	10
983187.49386	1.0171E-5	10
980584.42832	1.0198E-5	10
975229.17886	1.0254E-5	10
971817.29835	1.029E-5	10
967492.26006	1.0336E-5	10
964134.20748	1.0372E-5	10
961538.46154	1.04E-5	10
958037.9383	1.0438E-5	10
955018.62286	1.0471E-5	10
951022.34903	1.0515E-5	10
947328.53354	1.0556E-5	10
943752.35938	1.0596E-5	10
940026.32074	1.0638E-5	10
936943.68968	1.0673E-5	10
932748.81075	1.0721E-5	10
930232.55814	1.075E-5	10
928332.71445	1.0772E-5	10
926440.61516	1.0794E-5	10
924727.20547	1.0814E-5	10
921913.89324	1.0847E-5	10
918357.97594	1.0889E-5	10
913659.20512	1.0945E-5	10
909173.56123	1.0999E-5	10
905387.05297	1.1045E-5	10
900090.009	1.111E-5	10
896458.987	1.1155E-5	10
892777.43059	1.1201E-5	10
890392.66316	1.1231E-5	10
886839.30472	1.1276E-5	10
883470.27123	1.1319E-5	10
879120.87912	1.1375E-5	10
874967.18873	1.1429E-5	10
873286.17588	1.1451E-5	10
873286.17588	1.1451E-5	10
869716.47243	1.1498E-5	10
866551.12652	1.154E-5	10
866476.04194	1.1541E-5	10
862366.33322	1.1596E-5	10
858369.09871	1.165E-5	10
854700.8547	1.17E-5	10
850774.20453	1.1754E-5	10
845165.65247	1.1832E-5	10
841892.57451	1.1878E-5	10
838785.43868	1.1922E-5	10
835212.5616	1.1973E-5	10
831739.1666	1.2023E-5	10
829256.15723	1.2059E-5	10
826651.23584	1.2097E-5	10
823180.7705	1.2148E-5	10
820008.20008	1.2195E-5	10
817193.75664	1.2237E-5	10
815594.16035	1.2261E-5	10
814199.64175	1.2282E-5	10
814730.32426	1.2274E-5	10
814597.58879	1.2276E-5	10
807167.64872	1.2389E-5	10
801796.02309	1.2472E-5	10
796495.42015	1.2555E-5	10
792204.7057	1.2623E-5	10
787029.74973	1.2706E-5	10
783208.02005	1.2768E-5	10
